City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Guerrero Negro,MX,76.8,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
423,Le Port,RE,70.25,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
425,Cedral,MX,69.55,scattered clouds,23.8,-100.7333,Hotel Rocio
426,Niteroi,BR,79.2,broken clouds,-22.8833,-43.1036,Hotel Viareggio
427,Boguchar,RU,79.43,clear sky,49.9358,40.545,Home on Dzerzhinskogo
428,Komatipoort,ZA,73.06,few clouds,-25.4332,31.9548,Kruger View Backpackers
434,Meulaboh,ID,78.06,moderate rain,4.1363,96.1285,Kost Pria
435,Tuy Hoa,VN,78.82,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
437,Kismayo,SO,76.3,clear sky,-0.3582,42.5454,Agan-Hotel
440,Benguela,AO,70.5,clear sky,-12.5763,13.4055,Hotel Praia Morena
442,Great Bend,US,77.13,broken clouds,38.3645,-98.7648,Best Western Angus Inn
443,Saltpond,GH,74.84,overcast clouds,5.2091,-1.0606,Mfantseman Beach Resort
451,Karuri,KE,71.26,overcast clouds,-0.7,37.1833,Nokras Riverine Hotel & Spa
456,Kudahuvadhoo,MV,78.1,light rain,2.6708,72.8944,Niyama Private Islands Maldives
457,Saint-Pierre,RE,69.91,few clouds,-21.3393,55.4781,Alize Plage
466,Dandong,CN,74.71,overcast clouds,40.1292,124.3947,Yiranju Farmstay
468,Inhambane,MZ,75.18,few clouds,-23.865,35.3833,Oceano
477,Quatre Cocos,MU,71.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
480,Port Hedland,AU,72.0,few clouds,-20.3167,118.5667,The Esplanade Hotel
481,Manavalakurichi,IN,79.36,broken clouds,8.1333,77.3,Jebinrio home
482,Paraiso,CR,73.89,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
485,Praia Da Vitoria,PT,79.75,few clouds,38.7333,-27.0667,Hotel Branco I
488,Gamba,GA,76.51,broken clouds,-2.65,10.0,
489,Debica,PL,65.5,overcast clouds,50.0515,21.4114,Hotel Lord
490,Dewas,IN,75.38,overcast clouds,22.9667,76.0667,OYO 71164 Hotel Suryaansh
491,Dingzhou,CN,78.91,clear sky,38.5131,114.9956,宜家时尚宾馆
494,Maragogi,BR,79.92,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
503,Manokwari,ID,78.71,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
507,Axim,GH,75.6,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
514,Yatou,CN,76.08,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
519,Asau,RO,72.52,light rain,46.4333,26.4,Casa Mika Ciobanus
520,Demidov,RU,68.22,overcast clouds,55.2706,31.515,Mini-Hotel on Prosveshcheniya
524,Paciran,ID,78.67,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
526,Namatanai,PG,78.6,light rain,-3.6667,152.4333,Seagulls Inn Namatani
527,Nkhata Bay,MW,70.56,clear sky,-11.6066,34.2907,Mayoka Village
529,Kota Bahru,MY,78.75,thunderstorm,6.1333,102.2386,Grand Riverview Hotel
537,Roebourne,AU,69.58,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
539,Portland,US,79.7,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
540,Aitape,PG,78.53,scattered clouds,-3.1374,142.3475,
542,Goundi,TD,78.4,moderate rain,9.3627,17.366,
543,Sangar,RU,66.43,overcast clouds,63.9242,127.4739,
544,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
545,Beckley,US,70.21,mist,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
548,Isabela,PH,77.05,overcast clouds,6.7085,121.9711,Isawad Resort
552,Bogatyye Saby,RU,66.54,broken clouds,56.0102,50.4483,Nur
557,Bandarbeyla,SO,76.33,overcast clouds,9.4942,50.8122,JABIR HOTEL
562,Miles City,US,72.57,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
564,Baturaja,ID,73.78,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
566,Asmar,AF,78.55,broken clouds,35.0333,71.3581,COP Monti
568,Saint-Joseph,RE,68.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
571,Buchanan,LR,78.15,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
577,Auki,SB,76.46,clear sky,-8.7676,160.7034,Auki Motel
579,Farafangana,MG,69.66,clear sky,-22.8167,47.8333,Miarina
581,Medicine Hat,CA,78.22,few clouds,50.0501,-110.6683,Ramada Limited Medicine Hat
582,Thinadhoo,MV,78.35,light rain,0.5333,72.9333,
583,Chiredzi,ZW,72.52,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
586,Maarianhamina,AX,67.86,scattered clouds,60.0973,19.9348,Park Alandia Hotel
589,Villa Carlos Paz,AR,67.28,clear sky,-31.4241,-64.4978,Monte Carlo vcp
591,Klyuchi,RU,65.21,moderate rain,52.2667,79.1667,Vesolaya Mayovka
592,Loei,TH,66.67,overcast clouds,17.4167,101.5,Ban Aloi Resort
593,Huaihua,CN,78.51,broken clouds,27.5494,109.9592,怀化天庆大酒店
596,Omboue,GA,77.43,broken clouds,-1.5746,9.2618,Hotel Olako
597,Gweta,BW,74.84,few clouds,-20.1833,25.2333,Gweta Lodge
599,Dongsheng,CN,75.85,scattered clouds,39.8161,109.9776,Crowne Plaza Ordos
601,Sungaipenuh,ID,65.39,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
603,Maroantsetra,MG,70.09,light rain,-15.4333,49.7333,La Pagode
605,Miandrivazo,MG,78.91,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
606,Luena,AO,77.88,clear sky,-11.7833,19.9167,Hotel Kandamba
608,Abonnema,NG,78.85,light rain,4.7084,6.7931,Corper's Lodge Obonoma
620,Thohoyandou,ZA,70.21,clear sky,-22.9456,30.485,Masili Guesthouse & Conference
622,Saint-Leu,RE,69.31,scattered clouds,-21.15,55.2833,La Caz Oceane
623,Shingu,JP,77.05,broken clouds,33.7333,135.9833,Shingu UI Hotel
624,Ambon,ID,75.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
626,Yima,CN,75.81,clear sky,34.7381,111.8839,Yima Hotel
627,Xinpu,CN,77.31,clear sky,34.5997,119.1594,Pattaya Leisure Hotel
632,Bima,ID,71.42,clear sky,-8.4667,118.7167,Lambitu Hotel
639,Sedkyrkeshch,RU,68.45,light rain,61.75,50.9167,
640,Oussouye,SN,77.18,moderate rain,12.485,-16.5469,Auberge du Routard
648,La Asuncion,VE,71.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
649,Stege,DK,72.05,broken clouds,54.987,12.2846,Møn Golf Resort - Hotel Præstekilde
651,Soyo,AO,73.8,few clouds,-6.1349,12.3689,Hospedaria ndozi'ame
652,Elk City,US,79.02,broken clouds,35.412,-99.4043,Hampton Inn & Suites Elk City
653,Boueni,YT,76.98,few clouds,-12.9025,45.0761,The feet in water
655,Llanes,ES,74.86,clear sky,43.4198,-4.7549,Hotel La Paz
661,Alindao,CF,74.35,overcast clouds,5.0267,21.2088,OCHA Alindao
662,Anloga,GH,76.53,overcast clouds,5.7947,0.8973,Pin Drop Hotel
664,Watsa,CD,66.96,moderate rain,3.0372,29.5355,Hôtel Le Pacifique
665,Baoding,CN,78.53,clear sky,38.8511,115.4903,Xiu Lan Hotel
666,Concarneau,FR,75.81,scattered clouds,47.875,-3.9225,Brit Hotel de L' Océan
670,Sao Jose Da Coroa Grande,BR,79.86,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
