City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Hambantota,LK,2022-07-20 20:34:03,6.1241,81.1185,78.35,85,98,17.6
242,Poum,NC,2022-07-20 20:34:03,-20.2333,164.0167,75.81,85,100,7.87
243,Pilar,BR,2022-07-20 20:34:03,-9.5972,-35.9567,75.13,94,49,6.02
244,Leh,IN,2022-07-20 20:34:04,34.1667,77.5833,63.73,20,100,10.16
245,Leningradskiy,RU,2022-07-20 20:34:04,69.3833,178.4167,33.15,98,100,18.77
246,Makubetsu,JP,2022-07-20 20:34:04,45.3714,141.8211,59.77,87,81,10.58
247,Alvorada,BR,2022-07-20 20:34:05,-12.48,-49.1247,83.95,27,0,4.99
248,At-Bashi,KG,2022-07-20 20:34:05,41.1702,75.8106,58.08,36,0,6.44
249,Cuamba,MZ,2022-07-20 20:34:05,-14.8031,36.5372,65.53,63,21,4.16
250,Verkhnevilyuysk,RU,2022-07-20 20:34:06,63.4453,120.3167,54.46,97,100,3.71
251,Saint-Louis,SN,2022-07-20 20:34:06,16.3333,-15.0,86.83,54,100,17.43
252,Kruisfontein,ZA,2022-07-20 20:34:06,-34.0033,24.7314,54.88,91,95,4.05
253,Shache,CN,2022-07-20 20:34:07,38.4167,77.2406,77.25,19,0,7.94
254,Luena,AO,2022-07-20 20:34:07,-11.7833,19.9167,58.64,41,44,3.06
255,Tomatlan,MX,2022-07-20 20:34:07,19.9333,-105.25,99.37,41,100,5.84
256,Wilmington,US,2022-07-20 20:33:55,34.2257,-77.9447,89.89,72,40,8.01
257,Kachiry,KZ,2022-07-20 20:34:08,53.0675,76.1036,63.77,72,100,11.27
258,Roma,US,2022-07-20 20:30:04,43.2128,-75.4557,94.82,47,40,11.5
259,Conceicao Do Mato Dentro,BR,2022-07-20 20:33:15,-19.0372,-43.425,67.28,58,0,5.03
260,Onega,RU,2022-07-20 20:34:08,63.9061,38.1404,60.19,85,46,6.55
261,Zhangye,CN,2022-07-20 20:34:09,38.9342,100.4517,59.83,75,88,21.23
262,Amga,RU,2022-07-20 20:34:09,60.8953,131.9608,69.24,76,92,3.47
263,Yellowknife,CA,2022-07-20 20:30:48,62.456,-114.3525,66.72,52,75,16.11
264,Nanning,CN,2022-07-20 20:34:09,22.8167,108.3167,81.05,92,99,5.23
265,Hadrut,AZ,2022-07-20 20:34:10,39.52,47.0318,72.59,49,1,7.0
266,Sembakung,ID,2022-07-20 20:34:10,3.8167,117.25,72.7,99,100,1.99
267,Guerrero Negro,MX,2022-07-20 20:34:10,27.9769,-114.0611,84.29,42,16,14.9
268,Gaptsakh,RU,2022-07-20 20:34:11,41.4517,47.9303,61.02,72,2,3.67
269,Sao Filipe,CV,2022-07-20 20:30:57,14.8961,-24.4956,76.57,88,81,5.95
270,Igarka,RU,2022-07-20 20:34:11,67.4667,86.5833,49.12,97,99,4.47
271,Olecko,PL,2022-07-20 20:29:35,54.0337,22.507,61.14,82,64,4.52
272,Uhlove,UA,2022-07-20 20:32:16,44.8215,33.6045,67.01,73,0,4.27
273,Ilulissat,GL,2022-07-20 20:35:12,69.2167,-51.1,48.83,61,100,6.26
274,Nanortalik,GL,2022-07-20 20:35:12,60.1432,-45.2371,51.3,83,15,14.09
275,Bambous Virieux,MU,2022-07-20 20:35:12,-20.3428,57.7575,68.25,73,75,12.66
276,Weligama,LK,2022-07-20 20:35:13,5.9667,80.4167,77.65,87,91,14.0
277,Bonavista,CA,2022-07-20 20:35:13,48.6499,-53.1147,62.37,84,100,24.34
278,Tangjiazhuang,CN,2022-07-20 20:35:13,39.7333,118.45,66.52,95,9,1.68
279,Port Hardy,CA,2022-07-20 20:33:34,50.6996,-127.4199,59.18,82,20,6.91
280,Kaitangata,NZ,2022-07-20 20:35:14,-46.2817,169.8464,41.16,82,100,6.44
281,Raudeberg,NO,2022-07-20 20:32:03,61.9875,5.1352,56.07,95,100,7.76
282,Padang,ID,2022-07-20 20:35:14,-0.9492,100.3543,75.88,85,54,4.03
283,Tuktoyaktuk,CA,2022-07-20 20:35:15,69.4541,-133.0374,57.2,77,100,14.97
284,Tallahassee,US,2022-07-20 20:30:23,30.4383,-84.2807,78.85,88,75,18.41
285,Nantucket,US,2022-07-20 20:35:15,41.2835,-70.0995,89.71,79,0,12.66
286,Namibe,AO,2022-07-20 20:35:15,-15.1961,12.1522,62.33,83,1,5.84
287,Uttarkashi,IN,2022-07-20 20:35:16,30.7333,78.45,73.45,97,100,0.58
288,Mareeba,AU,2022-07-20 20:35:16,-17.0,145.4333,65.12,90,5,2.3
289,Maldonado,UY,2022-07-20 20:35:16,-34.6667,-54.9167,61.23,89,9,8.28
290,Isangel,VU,2022-07-20 20:35:17,-19.55,169.2667,75.31,88,97,3.44
291,Kargasok,RU,2022-07-20 20:35:17,59.0556,80.8572,57.54,81,68,5.59
292,Buedu,SL,2022-07-20 20:35:17,8.2803,-10.3719,68.97,99,100,3.83
293,Warrnambool,AU,2022-07-20 20:31:24,-38.3833,142.4833,40.8,81,0,9.01
294,Port Elizabeth,ZA,2022-07-20 20:35:18,-33.918,25.5701,57.09,95,75,6.91
